title,list_label,link,salary,finish_days
Pembuatan Web Apps,PHP| Bootstrap| Laravel Framework,https://projects.co.id/public/browse_projects/view/717a1b/pembuatan-web-apps,Rp 1.000.000 - 2.000.000,12
Developer CI Sistem Akuntansi Usaha Dagang,MySQL| CodeIgniter| Git| Visual Studio Code,https://projects.co.id/public/browse_projects/view/5f7a1b/developer-ci-sistem-akuntansi-usaha-dagang,Rp 5.000.000 - 10.000.000,20
butuh freelance programmer php,PHP,https://projects.co.id/public/browse_projects/view/4d7a1b/butuh-freelance-programmer-php,Rp 3.000.000 - 5.000.000,30
50 Soal TPS UTBK bagian PBM,Writing,https://projects.co.id/public/browse_projects/view/6b7a1b/50-soal-tps-utbk-bagian-pbm,Rp 150.000 - 200.000,7
50 Soal TPS UTBK bagian PPU,Writing,https://projects.co.id/public/browse_projects/view/687a1b/50-soal-tps-utbk-bagian-ppu,Rp 150.000 - 200.000,7
Butuh copywriter SEO untuk website berita online,Writing| Copywriter| Content Writer,https://projects.co.id/public/browse_projects/view/537a1b/butuh-copywriter-seo-untuk-website-berita-online,Rp 650.000 - 700.000,10
Butuh admin sosial media + konten creator (IG & tiktok) untuk perusahaan rental motor| kamera| peralatan liburan,Graphic Design| Video Production| Instagram| Content Writer,https://projects.co.id/public/browse_projects/view/a1621b/butuh-admin-sosial-media-konten-creator-ig-amp-tiktok-untuk-perusahaan-rental-motor-kamera-peralatan-liburan,Rp 750.000 - 1.000.000,7
Konversi Laporan menjadi Buku Referensi,Writing| Copywriter| Content Writer,https://projects.co.id/public/browse_projects/view/567a1b/konversi-laporan-menjadi-buku-referensi,Rp 1.800.000 - 2.100.000,20
configurasi yii2 dengan mongodb,PHP| Yii| MongoDB,https://projects.co.id/public/browse_projects/view/507a1b/configurasi-yii2-dengan-mongodb,Rp 450.000 - 500.000,7
Butuh ADMS php untuk mesin finger solution dan fingerspot,PHP| CodeIgniter,https://projects.co.id/public/browse_projects/view/417a1b/butuh-adms-php-untuk-mesin-finger-solution-dan-fingerspot,Rp 750.000 - 1.000.000,5
Laravel 10 + vue js 3,Bootstrap| Laravel Framework| VueJS,https://projects.co.id/public/browse_projects/view/2f7a1b/laravel-10-vue-js-3,Rp 1.000.000 - 1.500.000,7
Telegram auto adder- scrape group members add to your group,Telemarketing,https://projects.co.id/public/browse_projects/view/387a1b/telegram-auto-adder-scrape-group-members-add-to-your-group,Rp 500.000 - 2.500.000,7
Membuat bot klik Button,Database Programming| Firmware Programming| Linux Programming| Mac OS Programming| Mobile Programming| Web Programming| Windows Programming| Desktop Programming| Web Scrapping| Smart card programming,https://projects.co.id/public/browse_projects/view/2c7a1b/membuat-bot-klik-button,Rp 500.000 - 3.000.000,7
System Architects,Apache| API Gateway,https://projects.co.id/public/browse_projects/view/c4781b/system-architects,Rp 10.000.000 - 13.000.000,20
FIWARE Context Broker dan Kafka Specialists,Apache| API Gateway,https://projects.co.id/public/browse_projects/view/be781b/fiware-context-broker-dan-kafka-specialists,Rp 10.000.000 - 13.000.000,20
illustrator character,Illustration,https://projects.co.id/public/browse_projects/view/027a1b/illustrator-character,Rp 500.000 - 2.500.000,14
penambahan fitur,Python,https://projects.co.id/public/browse_projects/view/ff791b/penambahan-fitur,Rp 500.000 - 1.000.000,3
Bantu Perbaiki Template Wordpress Berita,Wordpress Templates,https://projects.co.id/public/browse_projects/view/c9791b/bantu-perbaiki-template-wordpress-berita,Rp 350.000 - 500.000,7
Saya Membutuhkan BOT untuk Views Halaman Website,Software Installation| Windows| Java| Web Programming| Website| Robotics| Ruby| Java Native| Phyton,https://projects.co.id/public/browse_projects/view/c0791b/saya-membutuhkan-bot-untuk-views-halaman-website,Rp 1.000.000 - 1.500.000,100
Dicari Pembuat Fitur Level Express Game HDI,Game Programming,https://projects.co.id/public/browse_projects/view/c6791b/dicari-pembuat-fitur-level-express-game-hdi,Rp 1.000.000 - 2.000.000,7
SEBAR KUESIONER PENELITIAN PADA IBU DARI MURID PAUD,Data Entry| Networking| Reviews| Analysis| Data Analysis| Data Integration| S3| SPSS| Responden| Data Science,https://projects.co.id/public/browse_projects/view/c3791b/sebar-kuesioner-penelitian-pada-ibu-dari-murid-paud,Rp 750.000 - 825.000,7
Butuh Jasa Jam Tayang Youtube,Youtube,https://projects.co.id/public/browse_projects/view/b4791b/butuh-jasa-jam-tayang-youtube,Rp 500.000 - 1.000.000,14
Aplikasi untuk Kost2an,Android| Website,https://projects.co.id/public/browse_projects/view/ba791b/aplikasi-untuk-kost2an,Rp 5.000.000 - 10.000.000,60
Desain grafis dengan kemampuan bahasa inggris untuk mewakili dalam sebuah meeting,English| Graphic Design,https://projects.co.id/public/browse_projects/view/ab791b/desain-grafis-dengan-kemampuan-bahasa-inggris-untuk-mewakili-dalam-sebuah-meeting,Rp 300.000 - 500.000,7
Membuat Web App & Mobile App Multi Purpose (Flutter),Mobile Programming| Web Programming| Laravel Framework| Flutter,https://projects.co.id/public/browse_projects/view/ae791b/membuat-web-app-amp-mobile-app-multi-purpose-flutter,Rp 10.000.000 - 15.000.000,30
Bikin Plugin Untuk Tracking Pengguna,Web Programming| PHP| Wordpress| Website Building| API Gateway,https://projects.co.id/public/browse_projects/view/87791b/bikin-plugin-untuk-tracking-pengguna,Rp 1.250.000 - 1.800.000,7
Penambahan fitur untuk aplikasi mobile react native dan backend laravel,Laravel Framework| React Native,https://projects.co.id/public/browse_projects/view/66791b/penambahan-fitur-untuk-aplikasi-mobile-react-native-dan-backend-laravel,Rp 500.000 - 1.000.000,7
Pembuatan website landing page untuk kampus,JavaScript| jQuery| CodeIgniter| HTML| CSS| Bootstrap,https://projects.co.id/public/browse_projects/view/cd781b/pembuatan-website-landing-page-untuk-kampus,Rp 7.500.000 - 10.000.000,25
Menulis Artikel BERBAHASA INGGRIS Seputar HIBURAN,English| Writing| Blog| Copywriter| Content Writer,https://projects.co.id/public/browse_projects/view/21791b/menulis-artikel-berbahasa-inggris-seputar-hiburan,Rp 250.000 - 350.000,30
Membuat Press Release dan Company Profile,Copywriter,https://projects.co.id/public/browse_projects/view/1b791b/membuat-press-release-dan-company-profile,Rp 300.000 - 400.000,10
Melakukan Fixing Minor Bug dan Enhancement Flutter Application,Mobile Programming| Android| Android studio| Flutter,https://projects.co.id/public/browse_projects/view/15791b/melakukan-fixing-minor-bug-dan-enhancement-flutter-application,Rp 200.000 - 400.000,3
Butuh backlink dari media nasional,Search Engine Optimization (SEO),https://projects.co.id/public/browse_projects/view/12791b/butuh-backlink-dari-media-nasional,Rp 500.000 - 1.000.000,7
Install driver ibm db2 di mac os untuk aplikasi laravel,Software Installation| MacOS| MySQL| Mac OS Programming| PHP| Laravel Framework,https://projects.co.id/public/browse_projects/view/0c791b/install-driver-ibm-db2-di-mac-os-untuk-aplikasi-laravel,Rp 100.000 - 200.000,1
Pembuatan 300 Soal TIU HOTS SKD CPNS Part #01,Microsoft Word| Microsoft Excel| Matematika,https://projects.co.id/public/browse_projects/view/09791b/pembuatan-300-soal-tiu-hots-skd-cpns-part-01,Rp 900.000 - 1.200.000,25
Pembuatan 300 Soal TKP HOTS SKD CPNS Part #01,Microsoft Word| Microsoft Excel| Matematika,https://projects.co.id/public/browse_projects/view/06791b/pembuatan-300-soal-tkp-hots-skd-cpns-part-01,Rp 900.000 - 1.200.000,25
Pembuatan 300 Soal TWK Penalaran SKD CPNS Part #02,Microsoft Word| Microsoft Excel| Matematika,https://projects.co.id/public/browse_projects/view/03791b/pembuatan-300-soal-twk-penalaran-skd-cpns-part-02,Rp 900.000 - 1.200.000,25
Rework Logo dan pembuatan Brand Guideline,CorelDRAW| Logo Design| Adobe PhotoShop| Adobe Illustrator,https://projects.co.id/public/browse_projects/view/ee781b/rework-logo-dan-pembuatan-brand-guideline,Rp 750.000 - 1.500.000,30
Bot Telegram Sniper,Python| NodeJS,https://projects.co.id/public/browse_projects/view/eb781b/bot-telegram-sniper,Rp 3.000.000 - 3.000.000,7
CODEIGNITER 3.1.13 Buat CRUD 4 halaman untuk halaman input,CodeIgniter| API Gateway,https://projects.co.id/public/browse_projects/view/e5781b/codeigniter-3113-buat-crud-4-halaman-untuk-halaman-input,Rp 1.500.000 - 2.000.000,7
Dicari Akun Google Play Console Developer GODEV Live bekas berisi app,Google Cloud Developer,https://projects.co.id/public/browse_projects/view/d3781b/dicari-akun-google-play-console-developer-godev-live-bekas-berisi-app,Rp 1.300.000 - 1.500.000,1
CODEIGNITER 3.1.13 Buat CRUD 4 halaman untuk catalog master,CodeIgniter| API Gateway,https://projects.co.id/public/browse_projects/view/c1781b/codeigniter-3113-buat-crud-4-halaman-untuk-catalog-master,Rp 1.500.000 - 2.000.000,7
Pembuatan Situs Web untuk Iklan Afiliasi dengan Format Berita,JavaScript| PHP| Wordpress,https://projects.co.id/public/browse_projects/view/9a781b/pembuatan-situs-web-untuk-iklan-afiliasi-dengan-format-berita,Rp 2.500.000 - 3.000.000,7
Membutuhkan Backlink Berkualitas untuk Website,Website| Blog| Wordpress,https://projects.co.id/public/browse_projects/view/76781b/membutuhkan-backlink-berkualitas-untuk-website,Rp 1.000.000 - 1.500.000,7
Membuat Aplikasi Mobile dari Sistem Informasi yang sudah Berjalan,Android| Ionic Framework| ReactJS| Android studio| Flutter| React Native,https://projects.co.id/public/browse_projects/view/2b781b/membuat-aplikasi-mobile-dari-sistem-informasi-yang-sudah-berjalan,Rp 2.500.000 - 2.700.000,15
Menambah Fitur di CRM internal,PHP,https://projects.co.id/public/browse_projects/view/34781b/menambah-fitur-di-crm-internal,Rp 500.000 - 1.000.000,4
Content Writer Website Catering,Social Media Marketing (SMM)| Writing| Website| Website Building| Website Templates| Copywriter| Content Writer| Social Media,https://projects.co.id/public/browse_projects/view/c46c1b/content-writer-website-catering,Rp 225.000 - 450.000,30
Butuh Backlink berkualitas,Search Engine Optimization (SEO),https://projects.co.id/public/browse_projects/view/0a781b/butuh-backlink-berkualitas,Rp 1.000.000 - 5.000.000,30
Video Editor Tiktok Instagram,Video Editing| Video Production| Video Animation,https://projects.co.id/public/browse_projects/view/e3771b/video-editor-tiktok-instagram,Rp 225.000 - 400.000,5
Buatkan add on mitra bukalapak melalui jalur API,Java| C#| API Gateway,https://projects.co.id/public/browse_projects/view/ec771b/buatkan-add-on-mitra-bukalapak-melalui-jalur-api,Rp 500.000 - 700.000,30
Digipos api,Java| Assembly| API Gateway| Flutter,https://projects.co.id/public/browse_projects/view/e9771b/digipos-api,Rp 700.000 - 1.000.000,30
DICARI PENULIS SOAL PPPK (TEKNIS),Writing| Copywriter| Content Writer,https://projects.co.id/public/browse_projects/view/e6771b/dicari-penulis-soal-pppk-teknis,Rp 300.000 - 350.000,7
Membuat Desain dan Gambar Kerja Rumah,Design Arts| 3D Animation| 3D Architecture| AutoCAD| Interior Design| Exterior Design| Civil and Structure Design,https://projects.co.id/public/browse_projects/view/d4771b/membuat-desain-dan-gambar-kerja-rumah,Rp 1.000.000 - 1.000.000,7
Butuh frontend engineer untuk membuat landing page website portal pencarian kerja,Web Programming| Web Design,https://projects.co.id/public/browse_projects/view/8f771b/butuh-frontend-engineer-untuk-membuat-landing-page-website-portal-pencarian-kerja,Rp 6.000.000 - 10.000.000,7
Buuh surveyor untuk daerah Bandung,Business Analysis| Statistical Analysis| Analysis| Data Analysis,https://projects.co.id/public/browse_projects/view/b3771b/buuh-surveyor-untuk-daerah-bandung,Rp 750.000 - 1.500.000,7
Menulis Artikel Wisata + Posting Wordpress (One day one post),Writing| Content Writer,https://projects.co.id/public/browse_projects/view/bc771b/menulis-artikel-wisata-posting-wordpress-one-day-one-post,Rp 600.000 - 650.000,30
PLUGIN SHOPIFY & WOOCOMMERCE,Wordpress| WooCommerce,https://projects.co.id/public/browse_projects/view/a1771b/plugin-shopify-amp-woocommerce,Rp 700.000 - 1.500.000,7
Buuh surveyor untuk daerah Depok dan Bogor,Business Analysis| Statistical Analysis| Analysis| Data Analysis,https://projects.co.id/public/browse_projects/view/89771b/buuh-surveyor-untuk-daerah-depok-dan-bogor,Rp 500.000 - 1.500.000,7
Buuh surveyor untuk daerah Tangerang,Business Analysis| Statistical Analysis| Analysis| Data Analysis,https://projects.co.id/public/browse_projects/view/83771b/buuh-surveyor-untuk-daerah-tangerang,Rp 500.000 - 1.500.000,7
Buuh surveyor untuk daerah Bekasi,Business Analysis| Statistical Analysis| Analysis| Data Analysis,https://projects.co.id/public/browse_projects/view/80771b/buuh-surveyor-untuk-daerah-bekasi,Rp 500.000 - 1.500.000,7
pembuatan desain cetakan untuk acara lari marathon,CorelDRAW| Adobe Illustrator| Social Media,https://projects.co.id/public/browse_projects/view/56771b/pembuatan-desain-cetakan-untuk-acara-lari-marathon,Rp 600.000 - 1.000.000,3
Dicari penulis artikel untuk website pertukangan di KangPro,Blog| Wordpress| Content Writer,https://projects.co.id/public/browse_projects/view/32771b/dicari-penulis-artikel-untuk-website-pertukangan-di-kangpro,Rp 300.000 - 350.000,30
Aplikasi pemesanan hotel seperti reddiirz atau oyos,Mobile Programming| Android| Windows Mobile| Windows Phone| Website| Website Building| App Inventor,https://projects.co.id/public/browse_projects/view/1d771b/aplikasi-pemesanan-hotel-seperti-reddiirz-atau-oyos,Rp 7.500.000 - 15.000.000,90
buat API Curl PHP untuk ambil data dari web yang tidak menyediakan API,Web Research| Web Programming| Website| Web Design| Website Building| Website Templates| Web Scrapping| API Gateway,https://projects.co.id/public/browse_projects/view/0e771b/buat-api-curl-php-untuk-ambil-data-dari-web-yang-tidak-menyediakan-api,Rp 750.000 - 1.500.000,7
mengajarkan membuat dag airflow,Python,https://projects.co.id/public/browse_projects/view/38771b/mengajarkan-membuat-dag-airflow,Rp 200.000 - 350.000,7
Kami membutuhkan penulis buku anak tema agama Islam,Writing| Copywriter| Screenwriting| Content Writer| ebook,https://projects.co.id/public/browse_projects/view/02771b/kami-membutuhkan-penulis-buku-anak-tema-agama-islam,Rp 500.000 - 2.000.000,30
Pembuatan Module Integrasi Finger| HRM Payroll,Laravel Framework| Golang| VueJS| ERP,https://projects.co.id/public/browse_projects/view/5a761b/pembuatan-module-integrasi-finger-hrm-payroll,Rp 2.000.000 - 4.000.000,14
Beritahu 50 temanmu untuk cari jasa tukang di KangPro,Internet Marketing| Social Media Marketing (SMM)| Sales and Marketing| Telemarketing,https://projects.co.id/public/browse_projects/view/d5761b/beritahu-50-temanmu-untuk-cari-jasa-tukang-di-kangpro,Rp 200.000 - 300.000,7
Perbaikan URL pada Route React JS,ReactJS,https://projects.co.id/public/browse_projects/view/c9761b/perbaikan-url-pada-route-react-js,Rp 250.000 - 350.000,1
Butuh bantuan terkait setting OBS,Tutorial/Assistant,https://projects.co.id/public/browse_projects/view/b7761b/butuh-bantuan-terkait-setting-obs,Rp 200.000 - 300.000,30
Buatkan alat IoT Pemilahan Sampah Organik dan Non Organik,Arduino| C/C++| NodeJS,https://projects.co.id/public/browse_projects/view/ae761b/buatkan-alat-iot-pemilahan-sampah-organik-dan-non-organik,Rp 4.000.000 - 4.000.000,7
Carikan Kosan di Bali,Web Research,https://projects.co.id/public/browse_projects/view/8d761b/carikan-kosan-di-bali,Rp 150.000 - 250.000,7
Butuh bantuan untuk pemahaman integrasi data microsoft SQL SERVER dan Laravel WAJIB JAKARTA (ASAP),Laravel Framework| SQL Server,https://projects.co.id/public/browse_projects/view/81761b/butuh-bantuan-untuk-pemahaman-integrasi-data-microsoft-sql-server-dan-laravel-wajib-jakarta-asap,Rp 2.500.000 - 3.500.000,2
